seed,beta,geometry,k,method,theta_over_C,r_eff,ns_dual_rel_err,ns_cos_to_exact
0,0.0,spectral_full_svd,,exact,1.0000000000000053,512.0,,
0,0.0,rows,,exact,1.0000000000000053,512.0,,
0,0.0,cols,,exact,1.0000000000000053,512.0,,
0,0.0,elementwise,,exact,0.6366375581645498,512.0,,
0,0.0,euclidean,,exact,1.0000000000000109,512.0,,
0,0.0,spectral_full_ns,,ns_float32,0.6538425485722963,512.0,-0.19139468925050163,0.999999999999372
0,0.0,spectral_full_ns,,ns_bfloat16,0.6057206585008873,512.0,-0.22171942173732473,0.9994917656420965
0,0.0,spectral_grouped,1,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,2,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,4,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,8,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,16,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,32,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,64,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,128,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,256,exact,1.0000000000000053,512.0,,
0,0.0,spectral_grouped,512,exact,1.0000000000000053,512.0,,
0,0.125,spectral_full_svd,,exact,0.9814904770075195,502.5231242278534,,
0,0.125,rows,,exact,0.9999077503555265,502.5231242278534,,
0,0.125,cols,,exact,0.999899402483361,502.5231242278534,,
0,0.125,elementwise,,exact,0.6382132895921587,502.5231242278534,,
0,0.125,euclidean,,exact,0.9999999999999859,502.5231242278534,,
0,0.125,spectral_full_ns,,ns_float32,0.7721326261809945,502.5231242278534,-0.11304230312346908,0.995031000360652
0,0.125,spectral_full_ns,,ns_bfloat16,0.740664177917045,502.5231242278534,-0.13130439316575615,0.9945580275006745
0,0.25,spectral_full_svd,,exact,0.9090281314861232,465.4224033208939,,
0,0.25,rows,,exact,0.9992605530339708,465.4224033208939,,
0,0.25,cols,,exact,0.9992075775255874,465.4224033208939,,
0,0.25,elementwise,,exact,0.6369157522776039,465.4224033208939,,
0,0.25,euclidean,,exact,1.000000000000005,465.4224033208939,,
0,0.25,spectral_full_ns,,ns_float32,0.8710322373287728,465.4224033208939,-0.02112225991944794,0.9908973633866904
0,0.25,spectral_full_ns,,ns_bfloat16,0.8438567391398353,465.4224033208939,-0.036513353699456075,0.9900874202500225
0,0.375,spectral_full_svd,,exact,0.7609885578423818,389.6261416153,,
0,0.375,rows,,exact,0.9960209405841739,389.6261416153,,
0,0.375,cols,,exact,0.9958151751661831,389.6261416153,,
0,0.375,elementwise,,exact,0.6338458959115079,389.6261416153,,
0,0.375,euclidean,,exact,0.9999999999999971,389.6261416153,,
0,0.375,spectral_full_ns,,ns_float32,0.7242688686713884,389.6261416153,-0.024424588598558006,0.9928760043560453
0,0.375,spectral_full_ns,,ns_bfloat16,0.7304363218211983,389.6261416153,-0.02027967693337296,0.9927818834548999
0,0.5,spectral_full_svd,,exact,0.5501034399781011,281.6529612687863,,
0,0.5,rows,,exact,0.9857455887954026,281.6529612687863,,
0,0.5,cols,,exact,0.9852322853047771,281.6529612687863,,
0,0.5,elementwise,,exact,0.6284313522514429,281.6529612687863,,
0,0.5,euclidean,,exact,1.0000000000000089,281.6529612687863,,
0,0.5,spectral_full_ns,,ns_float32,0.43009353848697357,281.6529612687863,-0.11578214855320224,0.9836140888170725
0,0.5,spectral_full_ns,,ns_bfloat16,0.4332385866656229,281.6529612687863,-0.11255512679105195,0.9835114422209583
0,0.625,spectral_full_svd,,exact,0.33983020106528394,173.99306294542623,,
0,0.625,rows,,exact,0.9606244307494979,173.99306294542623,,
0,0.625,cols,,exact,0.9602155724333914,173.99306294542623,,
0,0.625,elementwise,,exact,0.6110393467184637,173.99306294542623,,
0,0.625,euclidean,,exact,0.9999999999999915,173.99306294542623,,
0,0.625,spectral_full_ns,,ns_float32,0.2602054383984215,173.99306294542623,-0.1249614257740922,0.9904421996959126
0,0.625,spectral_full_ns,,ns_bfloat16,0.25839190230357845,173.99306294542623,-0.12801610591073842,0.9899023299602232
0,0.75,spectral_full_svd,,exact,0.1880897846203739,96.30196972563164,,
0,0.75,rows,,exact,0.9279381880842846,96.30196972563164,,
0,0.75,cols,,exact,0.9331840127605485,96.30196972563164,,
0,0.75,elementwise,,exact,0.5940571238942235,96.30196972563164,,
0,0.75,euclidean,,exact,0.9999999999999967,96.30196972563164,,
0,0.75,spectral_full_ns,,ns_float32,0.14222458966557064,96.30196972563164,-0.1304296157753756,0.9893749923349185
0,0.75,spectral_full_ns,,ns_bfloat16,0.14289312371499965,96.30196972563164,-0.12838828149964676,0.9892811791173655
0,0.75,spectral_grouped,1,exact,0.9279381880842846,96.30196972563164,,
0,0.75,spectral_grouped,2,exact,0.8971698903367812,96.30196972563164,,
0,0.75,spectral_grouped,4,exact,0.8381811466088387,96.30196972563164,,
0,0.75,spectral_grouped,8,exact,0.7591762083896479,96.30196972563164,,
0,0.75,spectral_grouped,16,exact,0.6576740943563157,96.30196972563164,,
0,0.75,spectral_grouped,32,exact,0.5473350430498886,96.30196972563164,,
0,0.75,spectral_grouped,64,exact,0.4372359323725731,96.30196972563164,,
0,0.75,spectral_grouped,128,exact,0.3385534173480374,96.30196972563164,,
0,0.75,spectral_grouped,256,exact,0.25539777989845247,96.30196972563164,,
0,0.75,spectral_grouped,512,exact,0.1880897846203739,96.30196972563164,,
0,0.875,spectral_full_svd,,exact,0.10053002259669232,51.47137156950638,,
0,0.875,rows,,exact,0.890445913198169,51.47137156950638,,
0,0.875,cols,,exact,0.888424153743289,51.47137156950638,,
0,0.875,elementwise,,exact,0.5643657606896199,51.47137156950638,,
0,0.875,euclidean,,exact,1.000000000000004,51.47137156950638,,
0,0.875,spectral_full_ns,,ns_float32,0.08864071049479293,51.47137156950638,-0.06099322845618038,0.9843331822076482
0,0.875,spectral_full_ns,,ns_bfloat16,0.08871996536582971,51.47137156950638,-0.06057353285344014,0.9841855871068635
0,1.0,spectral_full_svd,,exact,0.055235971188894624,28.280817248714026,,
0,1.0,rows,,exact,0.8698114687560766,28.280817248714026,,
0,1.0,cols,,exact,0.8627197169505697,28.280817248714026,,
0,1.0,elementwise,,exact,0.5565969374954587,28.280817248714026,,
0,1.0,euclidean,,exact,1.000000000000003,28.280817248714026,,
0,1.0,spectral_full_ns,,ns_float32,0.048410080114424964,28.280817248714026,-0.06382529293884243,0.9844114445900323
0,1.0,spectral_full_ns,,ns_bfloat16,0.04842209855909394,28.280817248714026,-0.06370909125468582,0.983693467726342
0,1.125,spectral_full_svd,,exact,0.03236738425674432,16.572100739453063,,
0,1.125,rows,,exact,0.8364556487153118,16.572100739453063,,
0,1.125,cols,,exact,0.8280607210724468,16.572100739453063,,
0,1.125,elementwise,,exact,0.5328272532242848,16.572100739453063,,
0,1.125,euclidean,,exact,1.0000000000000018,16.572100739453063,,
0,1.125,spectral_full_ns,,ns_float32,0.028260904847983836,16.572100739453063,-0.06558623048268575,0.939109331128597
0,1.125,spectral_full_ns,,ns_bfloat16,0.02829025177185863,16.572100739453063,-0.065101195509221,0.9369002491248655
0,1.25,spectral_full_svd,,exact,0.020523335456783653,10.507947753873232,,
0,1.25,rows,,exact,0.8056745822425896,10.507947753873232,,
0,1.25,cols,,exact,0.7892268131342165,10.507947753873232,,
